id,date,store_nbr,family,sales,onpromotion
1945947,2016-01-01,1,BEVERAGES,0.0,0
1945956,2016-01-01,1,GROCERY I,0.0,0
1947729,2016-01-02,1,BEVERAGES,1856.0,7
1947738,2016-01-02,1,GROCERY I,2047.0,22
1949511,2016-01-03,1,BEVERAGES,1048.0,1
1949520,2016-01-03,1,GROCERY I,1069.0,7
1951293,2016-01-04,1,BEVERAGES,3005.0,3
1951302,2016-01-04,1,GROCERY I,3190.0,5
1953075,2016-01-05,1,BEVERAGES,2374.0,9
1953084,2016-01-05,1,GROCERY I,2627.0,12
1954857,2016-01-06,1,BEVERAGES,2799.0,5
1954866,2016-01-06,1,GROCERY I,3330.0,5
1956639,2016-01-07,1,BEVERAGES,2248.0,0
1956648,2016-01-07,1,GROCERY I,2500.0,2
1958421,2016-01-08,1,BEVERAGES,2208.0,1
1958430,2016-01-08,1,GROCERY I,2985.0,4
1960203,2016-01-09,1,BEVERAGES,2360.0,0
1960212,2016-01-09,1,GROCERY I,2427.0,6
1961985,2016-01-10,1,BEVERAGES,991.0,4
1961994,2016-01-10,1,GROCERY I,1061.0,16
1963767,2016-01-11,1,BEVERAGES,2001.0,1
1963776,2016-01-11,1,GROCERY I,2474.0,3
1965549,2016-01-12,1,BEVERAGES,2339.0,4
1965558,2016-01-12,1,GROCERY I,3035.0,11
1967331,2016-01-13,1,BEVERAGES,2141.0,4
1967340,2016-01-13,1,GROCERY I,2617.0,16
1969113,2016-01-14,1,BEVERAGES,2422.0,4
1969122,2016-01-14,1,GROCERY I,2403.0,15
1970895,2016-01-15,1,BEVERAGES,2100.0,2
1970904,2016-01-15,1,GROCERY I,2291.0,4
1972677,2016-01-16,1,BEVERAGES,2457.0,3
1972686,2016-01-16,1,GROCERY I,2599.0,8
1974459,2016-01-17,1,BEVERAGES,1173.0,3
1974468,2016-01-17,1,GROCERY I,1291.0,12
1976241,2016-01-18,1,BEVERAGES,2399.0,1
1976250,2016-01-18,1,GROCERY I,2659.0,10
1978023,2016-01-19,1,BEVERAGES,1997.0,3
1978032,2016-01-19,1,GROCERY I,2294.0,17
1979805,2016-01-20,1,BEVERAGES,2376.0,5
1979814,2016-01-20,1,GROCERY I,2720.0,23
1981587,2016-01-21,1,BEVERAGES,1771.0,0
1981596,2016-01-21,1,GROCERY I,2053.0,0
1983369,2016-01-22,1,BEVERAGES,2071.0,0
1983378,2016-01-22,1,GROCERY I,2780.0,1
1985151,2016-01-23,1,BEVERAGES,2209.0,0
1985160,2016-01-23,1,GROCERY I,2390.0,2
1986933,2016-01-24,1,BEVERAGES,956.0,0
1986942,2016-01-24,1,GROCERY I,950.0,2
1988715,2016-01-25,1,BEVERAGES,2047.0,0
1988724,2016-01-25,1,GROCERY I,2601.0,2
1990497,2016-01-26,1,BEVERAGES,1882.0,2
1990506,2016-01-26,1,GROCERY I,2289.0,0
1992279,2016-01-27,1,BEVERAGES,2131.0,2
1992288,2016-01-27,1,GROCERY I,2689.0,1
1994061,2016-01-28,1,BEVERAGES,1751.0,23
1994070,2016-01-28,1,GROCERY I,2110.0,32
1995843,2016-01-29,1,BEVERAGES,2391.0,24
1995852,2016-01-29,1,GROCERY I,2490.0,39
1997625,2016-01-30,1,BEVERAGES,2340.0,25
1997634,2016-01-30,1,GROCERY I,2489.0,38
1999407,2016-01-31,1,BEVERAGES,1023.0,17
1999416,2016-01-31,1,GROCERY I,1101.0,30
2001189,2016-02-01,1,BEVERAGES,2450.0,25
2001198,2016-02-01,1,GROCERY I,2731.0,39
2002971,2016-02-02,1,BEVERAGES,1965.0,30
2002980,2016-02-02,1,GROCERY I,2665.0,38
2004753,2016-02-03,1,BEVERAGES,2769.0,30
2004762,2016-02-03,1,GROCERY I,3591.0,39
2006535,2016-02-04,1,BEVERAGES,2083.0,29
2006544,2016-02-04,1,GROCERY I,2432.0,60
2008317,2016-02-05,1,BEVERAGES,2028.0,31
2008326,2016-02-05,1,GROCERY I,2632.0,61
2010099,2016-02-06,1,BEVERAGES,2012.0,34
2010108,2016-02-06,1,GROCERY I,2342.0,69
2011881,2016-02-07,1,BEVERAGES,639.0,17
2011890,2016-02-07,1,GROCERY I,631.0,35
2013663,2016-02-08,1,BEVERAGES,531.0,17
2013672,2016-02-08,1,GROCERY I,703.0,26
2015445,2016-02-09,1,BEVERAGES,742.0,20
2015454,2016-02-09,1,GROCERY I,956.0,40
2017227,2016-02-10,1,BEVERAGES,2247.0,30
2017236,2016-02-10,1,GROCERY I,2778.0,58
2019009,2016-02-11,1,BEVERAGES,2085.0,31
2019018,2016-02-11,1,GROCERY I,2452.0,59
2020791,2016-02-12,1,BEVERAGES,2522.0,28
2020800,2016-02-12,1,GROCERY I,2790.0,59
2022573,2016-02-13,1,BEVERAGES,2281.0,28
2022582,2016-02-13,1,GROCERY I,2557.0,61
2024355,2016-02-14,1,BEVERAGES,974.0,22
2024364,2016-02-14,1,GROCERY I,1117.0,48
2026137,2016-02-15,1,BEVERAGES,2239.0,27
2026146,2016-02-15,1,GROCERY I,2566.0,62
2027919,2016-02-16,1,BEVERAGES,2539.0,7
2027928,2016-02-16,1,GROCERY I,3345.0,24
2029701,2016-02-17,1,BEVERAGES,2313.0,7
2029710,2016-02-17,1,GROCERY I,2891.0,23
2031483,2016-02-18,1,BEVERAGES,2012.0,5
2031492,2016-02-18,1,GROCERY I,2394.0,31
2033265,2016-02-19,1,BEVERAGES,2371.0,6
2033274,2016-02-19,1,GROCERY I,2860.0,29
2035047,2016-02-20,1,BEVERAGES,2760.0,8
2035056,2016-02-20,1,GROCERY I,2747.0,31
2036829,2016-02-21,1,BEVERAGES,1211.0,5
2036838,2016-02-21,1,GROCERY I,1200.0,17
2038611,2016-02-22,1,BEVERAGES,2353.0,7
2038620,2016-02-22,1,GROCERY I,2453.0,20
2040393,2016-02-23,1,BEVERAGES,2115.0,5
2040402,2016-02-23,1,GROCERY I,2451.0,18
2042175,2016-02-24,1,BEVERAGES,2097.0,7
2042184,2016-02-24,1,GROCERY I,2807.0,35
2043957,2016-02-25,1,BEVERAGES,1854.0,7
2043966,2016-02-25,1,GROCERY I,2084.0,4
2045739,2016-02-26,1,BEVERAGES,2171.0,51
2045748,2016-02-26,1,GROCERY I,2563.0,11
2047521,2016-02-27,1,BEVERAGES,2471.0,56
2047530,2016-02-27,1,GROCERY I,2500.0,12
2049303,2016-02-28,1,BEVERAGES,904.0,44
2049312,2016-02-28,1,GROCERY I,903.0,7
2051085,2016-02-29,1,BEVERAGES,2282.0,19
2051094,2016-02-29,1,GROCERY I,2448.0,13
2052867,2016-03-01,1,BEVERAGES,2371.0,15
2052876,2016-03-01,1,GROCERY I,2808.0,13
2054649,2016-03-02,1,BEVERAGES,2432.0,15
2054658,2016-03-02,1,GROCERY I,3137.0,19
2056431,2016-03-03,1,BEVERAGES,2013.0,16
2056440,2016-03-03,1,GROCERY I,2303.0,15
2058213,2016-03-04,1,BEVERAGES,2342.0,16
2058222,2016-03-04,1,GROCERY I,3587.0,15
2059995,2016-03-05,1,BEVERAGES,2562.0,17
2060004,2016-03-05,1,GROCERY I,2878.0,19
2061777,2016-03-06,1,BEVERAGES,1048.0,11
2061786,2016-03-06,1,GROCERY I,1365.0,12
2063559,2016-03-07,1,BEVERAGES,2165.0,11
2063568,2016-03-07,1,GROCERY I,2596.0,15
2065341,2016-03-08,1,BEVERAGES,2027.0,0
2065350,2016-03-08,1,GROCERY I,2531.0,0
2067123,2016-03-09,1,BEVERAGES,2224.0,10
2067132,2016-03-09,1,GROCERY I,2750.0,19
2068905,2016-03-10,1,BEVERAGES,1897.0,9
2068914,2016-03-10,1,GROCERY I,2196.0,13
2070687,2016-03-11,1,BEVERAGES,2208.0,13
2070696,2016-03-11,1,GROCERY I,2714.0,19
2072469,2016-03-12,1,BEVERAGES,2362.0,11
2072478,2016-03-12,1,GROCERY I,2678.0,18
2074251,2016-03-13,1,BEVERAGES,970.0,7
2074260,2016-03-13,1,GROCERY I,1134.0,12
2076033,2016-03-14,1,BEVERAGES,2238.0,13
2076042,2016-03-14,1,GROCERY I,2266.0,18
2077815,2016-03-15,1,BEVERAGES,2049.0,16
2077824,2016-03-15,1,GROCERY I,2986.0,19
2079597,2016-03-16,1,BEVERAGES,2329.0,10
2079606,2016-03-16,1,GROCERY I,3039.0,19
2081379,2016-03-17,1,BEVERAGES,2101.0,10
2081388,2016-03-17,1,GROCERY I,2427.0,44
2083161,2016-03-18,1,BEVERAGES,2224.0,8
2083170,2016-03-18,1,GROCERY I,2478.0,24
2084943,2016-03-19,1,BEVERAGES,2302.0,7
2084952,2016-03-19,1,GROCERY I,2514.0,24
2086725,2016-03-20,1,BEVERAGES,1067.0,3
2086734,2016-03-20,1,GROCERY I,1313.0,16
2088507,2016-03-21,1,BEVERAGES,2149.0,3
2088516,2016-03-21,1,GROCERY I,2456.0,29
2090289,2016-03-22,1,BEVERAGES,1991.0,6
2090298,2016-03-22,1,GROCERY I,2356.0,23
2092071,2016-03-23,1,BEVERAGES,2208.0,6
2092080,2016-03-23,1,GROCERY I,2774.0,28
2093853,2016-03-24,1,BEVERAGES,2653.0,7
2093862,2016-03-24,1,GROCERY I,2941.0,31
2095635,2016-03-25,1,BEVERAGES,899.0,4
2095644,2016-03-25,1,GROCERY I,824.0,19
2097417,2016-03-26,1,BEVERAGES,1723.0,8
2097426,2016-03-26,1,GROCERY I,1748.0,27
2099199,2016-03-27,1,BEVERAGES,862.0,1
2099208,2016-03-27,1,GROCERY I,977.0,19
2100981,2016-03-28,1,BEVERAGES,1986.0,6
2100990,2016-03-28,1,GROCERY I,2309.0,28
2102763,2016-03-29,1,BEVERAGES,2223.0,5
2102772,2016-03-29,1,GROCERY I,2698.0,27
2104545,2016-03-30,1,BEVERAGES,2163.0,6
2104554,2016-03-30,1,GROCERY I,2632.0,24
2106327,2016-03-31,1,BEVERAGES,2051.0,6
2106336,2016-03-31,1,GROCERY I,2407.0,24
2108109,2016-04-01,1,BEVERAGES,2274.0,8
2108118,2016-04-01,1,GROCERY I,3554.0,27
2109891,2016-04-02,1,BEVERAGES,2317.0,2
2109900,2016-04-02,1,GROCERY I,3028.0,23
2111673,2016-04-03,1,BEVERAGES,1112.0,2
2111682,2016-04-03,1,GROCERY I,1319.0,18
2113455,2016-04-04,1,BEVERAGES,2067.0,4
2113464,2016-04-04,1,GROCERY I,2792.0,26
2115237,2016-04-05,1,BEVERAGES,1897.0,5
2115246,2016-04-05,1,GROCERY I,2657.0,20
2117019,2016-04-06,1,BEVERAGES,2196.0,6
2117028,2016-04-06,1,GROCERY I,2784.0,28
2118801,2016-04-07,1,BEVERAGES,2041.0,31
2118810,2016-04-07,1,GROCERY I,2625.0,49
2120583,2016-04-08,1,BEVERAGES,2262.0,41
2120592,2016-04-08,1,GROCERY I,2486.0,67
2122365,2016-04-09,1,BEVERAGES,2227.0,42
2122374,2016-04-09,1,GROCERY I,2523.0,51
2124147,2016-04-10,1,BEVERAGES,1059.0,30
2124156,2016-04-10,1,GROCERY I,1179.0,31
2125929,2016-04-11,1,BEVERAGES,2177.0,38
2125938,2016-04-11,1,GROCERY I,2578.0,54
2127711,2016-04-12,1,BEVERAGES,1745.0,35
2127720,2016-04-12,1,GROCERY I,2406.0,54
2129493,2016-04-13,1,BEVERAGES,2342.0,47
2129502,2016-04-13,1,GROCERY I,2821.0,76
2131275,2016-04-14,1,BEVERAGES,1835.0,5
2131284,2016-04-14,1,GROCERY I,2236.0,13
2133057,2016-04-15,1,BEVERAGES,2009.0,2
2133066,2016-04-15,1,GROCERY I,2621.0,16
2134839,2016-04-16,1,BEVERAGES,2073.0,5
2134848,2016-04-16,1,GROCERY I,2439.0,22
2136621,2016-04-17,1,BEVERAGES,1717.0,3
2136630,2016-04-17,1,GROCERY I,2649.0,18
2138403,2016-04-18,1,BEVERAGES,4155.0,1
2138412,2016-04-18,1,GROCERY I,9065.0,18
2140185,2016-04-19,1,BEVERAGES,5051.0,5
2140194,2016-04-19,1,GROCERY I,8221.0,19
2141967,2016-04-20,1,BEVERAGES,4239.0,19
2141976,2016-04-20,1,GROCERY I,5438.0,28
2143749,2016-04-21,1,BEVERAGES,2872.0,18
2143758,2016-04-21,1,GROCERY I,4768.0,39
2145531,2016-04-22,1,BEVERAGES,2940.0,19
2145540,2016-04-22,1,GROCERY I,4871.0,26
2147313,2016-04-23,1,BEVERAGES,2283.0,15
2147322,2016-04-23,1,GROCERY I,3039.0,27
2149095,2016-04-24,1,BEVERAGES,1279.0,23
2149104,2016-04-24,1,GROCERY I,1554.0,34
2150877,2016-04-25,1,BEVERAGES,1928.0,18
2150886,2016-04-25,1,GROCERY I,2528.0,30
2152659,2016-04-26,1,BEVERAGES,2016.0,13
2152668,2016-04-26,1,GROCERY I,2535.0,33
2154441,2016-04-27,1,BEVERAGES,2347.0,19
2154450,2016-04-27,1,GROCERY I,2779.0,45
2156223,2016-04-28,1,BEVERAGES,2074.0,19
2156232,2016-04-28,1,GROCERY I,2989.0,63
2158005,2016-04-29,1,BEVERAGES,2322.0,24
2158014,2016-04-29,1,GROCERY I,2786.0,57
2159787,2016-04-30,1,BEVERAGES,2556.0,25
2159796,2016-04-30,1,GROCERY I,2920.0,69
2161569,2016-05-01,1,BEVERAGES,1148.0,17
2161578,2016-05-01,1,GROCERY I,1470.0,44
2163351,2016-05-02,1,BEVERAGES,2321.0,10
2163360,2016-05-02,1,GROCERY I,2870.0,41
2165133,2016-05-03,1,BEVERAGES,1908.0,6
2165142,2016-05-03,1,GROCERY I,2628.0,53
2166915,2016-05-04,1,BEVERAGES,2281.0,17
2166924,2016-05-04,1,GROCERY I,3279.0,63
2168697,2016-05-05,1,BEVERAGES,2076.0,14
2168706,2016-05-05,1,GROCERY I,2977.0,59
2170479,2016-05-06,1,BEVERAGES,2642.0,7
2170488,2016-05-06,1,GROCERY I,2994.0,52
2172261,2016-05-07,1,BEVERAGES,2686.0,5
2172270,2016-05-07,1,GROCERY I,3156.0,54
2174043,2016-05-08,1,BEVERAGES,856.0,6
2174052,2016-05-08,1,GROCERY I,852.0,36
2175825,2016-05-09,1,BEVERAGES,2135.0,9
2175834,2016-05-09,1,GROCERY I,2969.0,54
2177607,2016-05-10,1,BEVERAGES,1747.0,7
2177616,2016-05-10,1,GROCERY I,2279.0,50
2179389,2016-05-11,1,BEVERAGES,2101.0,15
2179398,2016-05-11,1,GROCERY I,2897.0,34
2181171,2016-05-12,1,BEVERAGES,1792.0,10
2181180,2016-05-12,1,GROCERY I,2423.0,34
2182953,2016-05-13,1,BEVERAGES,2185.0,11
2182962,2016-05-13,1,GROCERY I,2783.0,29
2184735,2016-05-14,1,BEVERAGES,2145.0,11
2184744,2016-05-14,1,GROCERY I,2713.0,26
2186517,2016-05-15,1,BEVERAGES,1103.0,6
2186526,2016-05-15,1,GROCERY I,1183.0,16
2188299,2016-05-16,1,BEVERAGES,2342.0,17
2188308,2016-05-16,1,GROCERY I,2893.0,27
2190081,2016-05-17,1,BEVERAGES,2116.0,9
2190090,2016-05-17,1,GROCERY I,3123.0,30
2191863,2016-05-18,1,BEVERAGES,2128.0,11
2191872,2016-05-18,1,GROCERY I,2898.0,35
2193645,2016-05-19,1,BEVERAGES,1839.0,8
2193654,2016-05-19,1,GROCERY I,2249.0,31
2195427,2016-05-20,1,BEVERAGES,2212.0,15
2195436,2016-05-20,1,GROCERY I,2523.0,43
2197209,2016-05-21,1,BEVERAGES,2202.0,9
2197218,2016-05-21,1,GROCERY I,2700.0,28
2198991,2016-05-22,1,BEVERAGES,852.0,5
2199000,2016-05-22,1,GROCERY I,1221.0,17
2200773,2016-05-23,1,BEVERAGES,1870.0,8
2200782,2016-05-23,1,GROCERY I,2415.0,33
2202555,2016-05-24,1,BEVERAGES,1705.0,9
2202564,2016-05-24,1,GROCERY I,2293.0,26
2204337,2016-05-25,1,BEVERAGES,2036.0,9
2204346,2016-05-25,1,GROCERY I,2501.0,34
2206119,2016-05-26,1,BEVERAGES,2043.0,37
2206128,2016-05-26,1,GROCERY I,2592.0,59
2207901,2016-05-27,1,BEVERAGES,1106.0,24
2207910,2016-05-27,1,GROCERY I,1153.0,42
2209683,2016-05-28,1,BEVERAGES,1691.0,32
2209692,2016-05-28,1,GROCERY I,1895.0,49
2211465,2016-05-29,1,BEVERAGES,868.0,25
2211474,2016-05-29,1,GROCERY I,1008.0,29
2213247,2016-05-30,1,BEVERAGES,1992.0,33
2213256,2016-05-30,1,GROCERY I,2756.0,59
2215029,2016-05-31,1,BEVERAGES,2183.0,39
2215038,2016-05-31,1,GROCERY I,3496.0,77
2216811,2016-06-01,1,BEVERAGES,2199.0,37
2216820,2016-06-01,1,GROCERY I,3404.0,76
2218593,2016-06-02,1,BEVERAGES,1588.0,35
2218602,2016-06-02,1,GROCERY I,2469.0,65
2220375,2016-06-03,1,BEVERAGES,2143.0,31
2220384,2016-06-03,1,GROCERY I,3876.0,53
2222157,2016-06-04,1,BEVERAGES,2194.0,39
2222166,2016-06-04,1,GROCERY I,2799.0,53
2223939,2016-06-05,1,BEVERAGES,1038.0,25
2223948,2016-06-05,1,GROCERY I,1106.0,27
2225721,2016-06-06,1,BEVERAGES,2098.0,36
2225730,2016-06-06,1,GROCERY I,2821.0,51
2227503,2016-06-07,1,BEVERAGES,1762.0,26
2227512,2016-06-07,1,GROCERY I,2790.0,49
2229285,2016-06-08,1,BEVERAGES,1994.0,38
2229294,2016-06-08,1,GROCERY I,3208.0,55
2231067,2016-06-09,1,BEVERAGES,1431.0,25
2231076,2016-06-09,1,GROCERY I,2079.0,37
2232849,2016-06-10,1,BEVERAGES,2221.0,26
2232858,2016-06-10,1,GROCERY I,2900.0,67
2234631,2016-06-11,1,BEVERAGES,2349.0,28
2234640,2016-06-11,1,GROCERY I,2436.0,48
2236413,2016-06-12,1,BEVERAGES,973.0,22
2236422,2016-06-12,1,GROCERY I,1184.0,30
2238195,2016-06-13,1,BEVERAGES,2311.0,33
2238204,2016-06-13,1,GROCERY I,2374.0,46
2239977,2016-06-14,1,BEVERAGES,1708.0,21
2239986,2016-06-14,1,GROCERY I,2301.0,41
2241759,2016-06-15,1,BEVERAGES,2052.0,27
2241768,2016-06-15,1,GROCERY I,3015.0,65
2243541,2016-06-16,1,BEVERAGES,1705.0,23
2243550,2016-06-16,1,GROCERY I,2370.0,46
2245323,2016-06-17,1,BEVERAGES,2209.0,26
2245332,2016-06-17,1,GROCERY I,2624.0,62
2247105,2016-06-18,1,BEVERAGES,2104.0,27
2247114,2016-06-18,1,GROCERY I,2823.0,51
2248887,2016-06-19,1,BEVERAGES,989.0,21
2248896,2016-06-19,1,GROCERY I,1042.0,38
2250669,2016-06-20,1,BEVERAGES,2232.0,34
2250678,2016-06-20,1,GROCERY I,2598.0,49
2252451,2016-06-21,1,BEVERAGES,1840.0,35
2252460,2016-06-21,1,GROCERY I,2525.0,53
2254233,2016-06-22,1,BEVERAGES,2363.0,32
2254242,2016-06-22,1,GROCERY I,2685.0,67
2256015,2016-06-23,1,BEVERAGES,1729.0,6
2256024,2016-06-23,1,GROCERY I,2330.0,47
2257797,2016-06-24,1,BEVERAGES,1862.0,6
2257806,2016-06-24,1,GROCERY I,2550.0,53
2259579,2016-06-25,1,BEVERAGES,2060.0,6
2259588,2016-06-25,1,GROCERY I,2529.0,52
2261361,2016-06-26,1,BEVERAGES,1103.0,5
2261370,2016-06-26,1,GROCERY I,1216.0,40
2263143,2016-06-27,1,BEVERAGES,2377.0,6
2263152,2016-06-27,1,GROCERY I,2390.0,47
2264925,2016-06-28,1,BEVERAGES,2353.0,5
2264934,2016-06-28,1,GROCERY I,2987.0,42
2266707,2016-06-29,1,BEVERAGES,2009.0,5
2266716,2016-06-29,1,GROCERY I,2596.0,45
2268489,2016-06-30,1,BEVERAGES,1631.0,8
2268498,2016-06-30,1,GROCERY I,2155.0,49
2270271,2016-07-01,1,BEVERAGES,2298.0,8
2270280,2016-07-01,1,GROCERY I,3213.0,45
2272053,2016-07-02,1,BEVERAGES,2127.0,4
2272062,2016-07-02,1,GROCERY I,2795.0,38
2273835,2016-07-03,1,BEVERAGES,973.0,7
2273844,2016-07-03,1,GROCERY I,1263.0,27
2275617,2016-07-04,1,BEVERAGES,2033.0,8
2275626,2016-07-04,1,GROCERY I,2946.0,48
2277399,2016-07-05,1,BEVERAGES,1941.0,13
2277408,2016-07-05,1,GROCERY I,2479.0,45
2279181,2016-07-06,1,BEVERAGES,2400.0,29
2279190,2016-07-06,1,GROCERY I,3117.0,68
2280963,2016-07-07,1,BEVERAGES,1697.0,15
2280972,2016-07-07,1,GROCERY I,2325.0,41
2282745,2016-07-08,1,BEVERAGES,2322.0,13
2282754,2016-07-08,1,GROCERY I,2807.0,38
2284527,2016-07-09,1,BEVERAGES,2089.0,16
2284536,2016-07-09,1,GROCERY I,2196.0,34
2286309,2016-07-10,1,BEVERAGES,787.0,11
2286318,2016-07-10,1,GROCERY I,1044.0,28
2288091,2016-07-11,1,BEVERAGES,2048.0,13
2288100,2016-07-11,1,GROCERY I,2373.0,46
2289873,2016-07-12,1,BEVERAGES,1769.0,14
2289882,2016-07-12,1,GROCERY I,2254.0,41
2291655,2016-07-13,1,BEVERAGES,2332.0,8
2291664,2016-07-13,1,GROCERY I,2955.0,49
2293437,2016-07-14,1,BEVERAGES,1867.0,6
2293446,2016-07-14,1,GROCERY I,2379.0,39
2295219,2016-07-15,1,BEVERAGES,2162.0,8
2295228,2016-07-15,1,GROCERY I,3094.0,47
2297001,2016-07-16,1,BEVERAGES,2301.0,7
